Date,gdp_resid_vol
2001-03-01,0.49520087058761186
2001-06-01,0.5112186980989852
2001-09-01,0.5241173809719998
2001-12-01,0.5669326739276594
2002-03-01,0.5979884581306212
2002-06-01,0.5478923450521586
2002-09-01,0.5239139150669979
2002-12-01,0.5186317944880801
2003-03-01,0.545734011024637
2003-06-01,0.5621572293199898
2003-09-01,0.6031064445205734
2003-12-01,0.5753485367156125
2004-03-01,0.5410383992106484
2004-06-01,0.5062426810326012
2004-09-01,0.48196635816177713
2004-12-01,0.47515604080912244
2005-03-01,0.45646706380366536
2005-06-01,0.4501546941163256
2005-09-01,0.45562264010055065
2005-12-01,0.473291582076342
2006-03-01,0.48891373658228743
2006-06-01,0.5169852178810034
2006-09-01,0.5577090195456144
2006-12-01,0.5503023924138484
2007-03-01,0.5837216985047251
2007-06-01,0.5431490323849858
2007-09-01,0.5446279142147487
2007-12-01,0.543309373104551
2008-03-01,0.5578268694096318
2008-06-01,0.5756209021280793
2008-09-01,0.610955139016392
2008-12-01,0.6540009035152144
2009-03-01,0.663937410821091
2009-06-01,0.7135717034190422
2009-09-01,0.7220426769854397
2009-12-01,0.6801254937722252
2010-03-01,0.6855848454457195
2010-06-01,0.6567412673621962
2010-09-01,0.592935876215877
2010-12-01,0.5733734309061675
2011-03-01,0.5684885614913141
2011-06-01,0.5453487159999876
2011-09-01,0.5558534053728135
2011-12-01,0.5532998777115069
2012-03-01,0.5336219918539948
2012-06-01,0.534192200523647
2012-09-01,0.5663412707327922
2012-12-01,0.5809865051403108
2013-03-01,0.5307022589072394
2013-06-01,0.5010916571094121
2013-09-01,0.4925056985296987
2013-12-01,0.5042891688413347
2014-03-01,0.5171139856260651
2014-06-01,0.520990445709973
2014-09-01,0.5388443973226323
2014-12-01,0.5677238108507252
2015-03-01,0.6216032781227013
2015-06-01,0.5747516386852788
2015-09-01,0.4949061174662217
2015-12-01,0.45613463592480497
2016-03-01,0.4121455128431186
2016-06-01,0.38890652852026075
2016-09-01,0.38036238933819483
2016-12-01,0.3779440455643171
2017-03-01,0.3867998852973821
2017-06-01,0.38375837697186527
2017-09-01,0.3902757539298485
2017-12-01,0.39487398340075636
2018-03-01,0.40043645350328433
2018-06-01,0.42331360348853475
2018-09-01,0.44500219021183457
2018-12-01,0.49147095520019646
2019-03-01,0.5306732429692003
2019-06-01,0.6017132295560896
2019-09-01,0.7063700200620155
2019-12-01,0.8566699462469503
2020-03-01,1.0244431026464331
2020-06-01,1.2751653753033718
2020-09-01,1.1193736067666364
2020-12-01,1.0811108095281186
2021-03-01,1.1194686658753983
2021-06-01,1.2560291996829298
2021-09-01,1.0329651844244374
2021-12-01,0.8571520095390538
2022-03-01,0.769137931991358
2022-06-01,0.7316817009495221
2022-09-01,0.632605814477826
2022-12-01,0.5721901894820813
2023-03-01,0.5446621446191624
2023-06-01,0.5087262643680633
2023-09-01,0.4965323200381471
2023-12-01,0.497184110705701
2024-03-01,0.5080750168525195
2024-06-01,0.5009682060295498
2024-09-01,0.5026329996524701
2024-12-01,0.5035815213146441
2025-03-01,0.49914482034319213
